,Qty,Value,Device,Package,Parts,VENDOR,VENDOR_PN
X,1,M03x2,M03X2NO_SILK,2X3-NS,JP5,DIGI-KEY,952-2121-ND
X,18,0.1uF,C-EUC0603,C0603,"C3, C6, C23, C24, C25, C30, C32, C33, C34, C36, C39, C41, C42, C43, C44, C45, C46, C47",DIGI-KEY,1276-1005-1-ND
X,10,100K,R-US_R0603,R0603,"R2, R4, R5, R8, R9, R16, R17, R18, R20, R23",DIGI-KEY,1276-5110-1-ND
X,5,10K,R-US_R0603,R0603,"R6, R10, R11, R12, R13",DIGI-KEY,1276-5086-1-ND
X,2,10uF,C-EUC0805,C0805,"C13, C31",DIGI-KEY,490-6470-1-ND
X,1,128240D,128240D,128240D,JP4,MOUSER,758-SEA8056-36
X,2,1N4148X-TP,DIODESOD523,SOD523,"D2, D3",DIGI-KEY,1N4148XTPMSCT-ND
X,16,1uF,C-EUC0603,C0603,"C1, C2, C4, C5, C8, C9, C10, C12, C15, C16, C17, C18, C11, C20, C38, C40",DIGI-KEY,587-1248-1-ND
X,1,1.2uH,INDUCTOR-SRU5028,SRU5028,L1,DIGI-KEY,SRU5028-1R2YCT-ND
X,3,2.2K,R-US_R0603,R0603,"R1, R3, R7",DIGI-KEY,1276-5070-1-ND
X,3,2.2uF,C-EUC0603,C0603,"C7, C22, C27",DIGI-KEY,445-5167-1-ND
X,1,2.2uH,INDUCTOR-SRU5028,SRU5028,L3,DiGI-KEY,SRU5028-2R2YCT-ND
X,3,2.5K,FERRITE-BEAD-0603,603,"L2, L4, L5",DIGI-KEY,587-1893-1-ND
X,3,220R,R-US_R0603,R0603,"R19, R21, R22",DIGI-KEY,1276-5046-1-ND
X,3,22uF,C-EUC0805,C0805,"C21, C28, C35",DIGI-KEY,587-1305-1-ND
X,3,33nF,C-EUC0603,C0603,"C19, C26, C29",DIGI-KEY,1276-2042-1-ND
X,1,4.7uF,C-EUC0603,C0603,C37,DIGI-KEY,490-3297-1-ND
X,1,41.2K,R-US_R0603,R0603,R15,DiGI-KEY,1276-4801-1-ND
X,1,59K,R-US_R0603,R0603,R14,DiGI-KEY,1276-4818-1-ND
X,1,AAT4280A,AAT4280A,SOT23-6,U4,DIGI-KEY,863-1486-1-ND
X,1,ATUC128L4U-TQFP48,ATUC128L4U-TQFP48,TQFP48,U2,DIGI-KEY,ATUC128L4U-AUT-ND
X,1,BMP180,BMP180,BMP180,U6,DIGI-KEY,828-1027-1-ND
X,1,BQ24251,BQ24251,VQFN-24,U1,DIGI-KEY,296-36444-1-ND
X,5,FSMRA7JH,TAC_SWITCH-FSMRA,FSMRA,"S1, S2, S3, S4, S5",DIGI-KEY,450-1661-ND
X,1,LED-RG-APT,LED-RG-APT,LED-2-1.6X1.25,D1,DIGI-KEY,754-1146-1-ND
X,1,LM3668-3034,LM3668-3034,WSON-12,U3,DIGI-KEY,LM3668SD-3034/NOPBCT-ND
X,2,M02-JST-PH-2-RA,M02-JST-PH-2-RA,JST-PH-2-RA,"JP1, JP6",DIGI-KEY,455-1719-ND
X,1,MAG3110,MAG3110,DFN-10-2X2,U7,DIGI-KEY,MAG3110FCR1CT-ND
X,1,MICRO-SD-5031821853,MICRO-SD-5031821853,MICROSD-5031821853,JP2,DIGI-KEY,WM9750CT-ND
X,1,UC530,UC530,UC530,U5,MOUSER,916-UC530
X,1,USB-MINIB-M26FTR,USB-MINIB-M26FTR,USB-MINIB-M26FTR,JP3,DIGI-KEY,ED2992CT-ND
,,,,,,,
,,External Parts,,,,,
X,1,,128240D,,128x240 Monochrome LCD,MOUSER,758-S128240DFCBW-3
,1,,SL-53FMBT,,Plastic Enclosure,POLYCASE,SL-53FMBT
X,4,,875,,Board Standoffs,DIGI-KEY,875K-ND
,1,,PL-605585-2C,,3.7V 3.2Ah Lipo ,BATTERYSPACE,3178
,1,,32135,,Lipo PCB,ALL-BATTERY,32135
X,4,,SPH-002T-P0.5L,,JST Connector Crimps,DIGI-KEY,455-2148-1-ND
X,2,,PHR-2,,JST Wire Connector,DIGI-KEY,455-1165-ND
X,1,,AB2025B-LW100-R,,Piezo Buzzer,DIGI-KEY,668-1403-ND
